#  aims_uuid : 222F905C-D19D-4B41-A54F-3F46AF5E1A00                                
# Angular momentum resolved density for species Sbas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.780076 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -20.21992431        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.21592391        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.21192351        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.20792311        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.20392271        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.19992231        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.19592191        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.19192151        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.18792111        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.18392071        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.17992031        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.17591991        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.17191951        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.16791911        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.16391871        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.15991831        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.15591791        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.15191751        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.14791711        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.14391671        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.13991631        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.13591591        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.13191551        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.12791511        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.12391471        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.11991431        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.11591391        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.11191351        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.10791311        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.10391271        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.09991231        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.09591191        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.09191151        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.08791111        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.08391071        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.07991031        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.07590991        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.07190951        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.06790911        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.06390871        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.05990831        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.05590791        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.05190751        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.04790711        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.04390671        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.03990631        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.03590591        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.03190551        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.02790511        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.02390471        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.01990431        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.01590391        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.01190351        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.00790311        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -20.00390271        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.99990231        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.99590191        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.99190151        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.98790111        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.98390071        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.97990031        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.97589991        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.97189951        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.96789911        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.96389871        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.95989831        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.95589791        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.95189751        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.94789711        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.94389671        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.93989631        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.93589591        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.93189551        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.92789511        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.92389471        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.91989431        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.91589391        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.91189351        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.90789311        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.90389271        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.89989231        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.89589191        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.89189151        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.88789110        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.88389070        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.87989030        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.87588990        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.87188950        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.86788910        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.86388870        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.85988830        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.85588790        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.85188750        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.84788710        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.84388670        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.83988630        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.83588590        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.83188550        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.82788510        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.82388470        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.81988430        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
